name	type	units	low_cutoff	high_cutoff	reference	group	notch	status	status_description	sampling_frequency
P01	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P02	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P03	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P04	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P05	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P06	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P07	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P08	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P09	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P10	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P11	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P12	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P13	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P14	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P15	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P16	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P17	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P18	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P19	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P20	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P21	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P22	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P23	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P24	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P25	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P26	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P27	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P28	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P29	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P30	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P31	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P32	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P33	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P34	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P35	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P36	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P37	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P38	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P39	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P40	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P41	ECOG	µV	0.000	0.150	G2	P	0.000	bad	on top of other channels	512.000
P42	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P43	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P44	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P45	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P46	ECOG	µV	0.000	0.150	G2	P	0.000	bad	on top of other channels	512.000
P47	ECOG	µV	0.000	0.150	G2	P	0.000	bad	on top of other channels	512.000
P48	ECOG	µV	0.000	0.150	G2	P	0.000	bad	on top of other channels	512.000
OT01	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT02	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT03	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT04	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT05	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT06	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT07	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT08	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT09	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT10	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT11	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT12	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT13	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT14	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT15	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
OT16	ECOG	µV	0.000	0.150	G2	OT	0.000	good	n/a	512.000
Db1	SEEG	µV	0.000	0.150	G2	Db	0.000	good	n/a	512.000
Db2	SEEG	µV	0.000	0.150	G2	Db	0.000	good	n/a	512.000
Db3	SEEG	µV	0.000	0.150	G2	Db	0.000	good	n/a	512.000
Db4	SEEG	µV	0.000	0.150	G2	Db	0.000	good	n/a	512.000
Db5	SEEG	µV	0.000	0.150	G2	Db	0.000	good	n/a	512.000
Db6	SEEG	µV	0.000	0.150	G2	Db	0.000	good	n/a	512.000
Do1	SEEG	µV	0.000	0.150	G2	Do	0.000	good	n/a	512.000
Do2	SEEG	µV	0.000	0.150	G2	Do	0.000	good	n/a	512.000
Do3	SEEG	µV	0.000	0.150	G2	Do	0.000	good	n/a	512.000
Do4	SEEG	µV	0.000	0.150	G2	Do	0.000	good	n/a	512.000
Do5	SEEG	µV	0.000	0.150	G2	Do	0.000	good	n/a	512.000
Do6	SEEG	µV	0.000	0.150	G2	Do	0.000	good	n/a	512.000
AH+	MISC	µV	0.000	0.150	AH-	n/a	0.000	good	n/a	512.000
ECG+	ECG	µV	0.000	0.150	ECG-	n/a	0.000	good	n/a	512.000
orb+	EOG	µV	0.000	0.150	orb-	n/a	0.000	good	n/a	512.000
EMG+	EMG	µV	0.000	0.150	EMG-	n/a	0.000	good	n/a	512.000
