name	type	units	low_cutoff	high_cutoff	reference	group	notch	status	status_description	sampling_frequency
TOc01	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc02	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc03	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc04	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc05	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc06	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc07	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc08	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc09	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc10	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc11	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc12	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc13	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc14	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc15	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc16	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc17	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc18	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc19	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc20	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc21	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc22	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc23	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc24	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc25	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc26	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc27	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc28	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc29	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc30	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc31	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc32	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc33	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc34	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc35	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc36	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc37	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc38	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc39	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc40	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc41	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc42	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc43	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc44	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc45	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc46	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc47	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
TOc48	ECOG	µV	0.000	0.150	G2	TOc	0.000	good	n/a	512.000
HOC49	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC50	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC51	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC52	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC53	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC54	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC55	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC56	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC57	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC58	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC59	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC60	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC61	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC62	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC63	ECOG	µV	0.000	0.150	G2	HOc	0.000	good	n/a	512.000
HOC64	ECOG	µV	0.000	0.150	G2	HOc	0.000	bad	on top of other channels	512.000
LOc1	ECOG	µV	0.000	0.150	G2	LOc	0.000	good	n/a	512.000
LOc2	ECOG	µV	0.000	0.150	G2	LOc	0.000	good	n/a	512.000
LOc3	ECOG	µV	0.000	0.150	G2	LOc	0.000	good	n/a	512.000
LOc4	ECOG	µV	0.000	0.150	G2	LOc	0.000	good	n/a	512.000
LOc5	ECOG	µV	0.000	0.150	G2	LOc	0.000	good	n/a	512.000
LOc6	ECOG	µV	0.000	0.150	G2	LOc	0.000	good	n/a	512.000
LOc7	ECOG	µV	0.000	0.150	G2	LOc	0.000	good	n/a	512.000
LOc8	ECOG	µV	0.000	0.150	G2	LOc	0.000	good	n/a	512.000
sOc1	ECOG	µV	0.000	0.150	G2	sOc	0.000	good	n/a	512.000
sOc2	ECOG	µV	0.000	0.150	G2	sOc	0.000	good	n/a	512.000
sOc3	ECOG	µV	0.000	0.150	G2	sOc	0.000	good	n/a	512.000
sOc4	ECOG	µV	0.000	0.150	G2	sOc	0.000	good	n/a	512.000
sOc5	ECOG	µV	0.000	0.150	G2	sOc	0.000	good	n/a	512.000
sOc6	ECOG	µV	0.000	0.150	G2	sOc	0.000	good	n/a	512.000
sOc7	ECOG	µV	0.000	0.150	G2	sOc	0.000	good	n/a	512.000
sOc8	ECOG	µV	0.000	0.150	G2	sOc	0.000	good	n/a	512.000
sTa1	ECOG	µV	0.000	0.150	G2	sTa	0.000	good	n/a	512.000
