name	type	units	low_cutoff	high_cutoff	reference	group	notch	status	status_description	sampling_frequency
FH01	ECOG	µV	n/a	0.150	G2	FH	0.000	good	n/a	512.000
FH02	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH03	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH04	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH05	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH06	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH07	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH08	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH09	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH10	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH11	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH12	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH13	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH14	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH15	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH16	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH17	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH18	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH19	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH20	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH21	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH22	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH23	ECOG	µV	0.000	0.150	G2	FH	0.000	bad	noisy	512.000
FH24	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH25	ECOG	µV	0.000	0.150	G2	FH	0.000	bad	noisy	512.000
FH26	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH27	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH28	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH29	ECOG	µV	0.000	0.150	G2	FH	0.000	bad	noisy	512.000
FH30	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH31	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FH32	ECOG	µV	0.000	0.150	G2	FH	0.000	good	n/a	512.000
FL01	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL02	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL03	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL04	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL05	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL06	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL07	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL08	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL09	ECOG	µV	0.000	0.150	G2	FL	0.000	bad	noisy	512.000
FL10	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL11	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL12	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL13	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL14	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL15	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL16	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL17	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL18	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL19	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL20	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL21	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL22	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL23	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL24	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL25	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL26	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL27	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL28	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL29	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL30	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL31	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
FL32	ECOG	µV	0.000	0.150	G2	FL	0.000	good	n/a	512.000
EMG+	EMG	µV	0.000	0.150	EMG-	n/a	0.000	good	n/a	512.000
R2+	MISC	µV	0.000	0.150	G2	n/a	0.000	good	n/a	512.000
R3+	MISC	µV	0.000	0.150	G2	n/a	0.000	good	n/a	512.000
R4+	MISC	µV	0.000	0.150	G2	n/a	0.000	good	n/a	512.000
R5+	MISC	µV	0.000	0.150	G2	n/a	0.000	good	n/a	512.000
MKR1+	TRIG	µV	0.000	0.000	MKR1-	n/a	0.000	good	n/a	512.000
MKR2+	TRIG	µV	0.000	0.000	MKR2-	n/a	0.000	good	n/a	512.000
