name	type	units	low_cutoff	high_cutoff	reference	group	status	status_description	sampling_frequency
T01	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T02	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T03	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T04	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T05	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T06	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T07	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T08	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T09	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T10	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T11	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T12	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T13	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T14	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T15	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T16	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T17	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T18	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T19	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T20	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T21	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T22	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T23	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T24	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T25	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T26	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T27	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T28	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T29	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T30	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T31	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
T32	ECOG	µV	0.000	0.150	G2	T	good	n/a	512.000
P33	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P34	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P35	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P36	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P37	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P38	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P39	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P40	ECOG	µV	0.000	0.150	G2	P	bad	on top of other channels	512.000
P41	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P42	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P43	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P44	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P45	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P46	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P47	ECOG	µV	0.000	0.150	G2	P	good	n/a	512.000
P48	ECOG	µV	0.000	0.150	G2	P	bad	on top of other channels	512.000
PO49	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO50	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO51	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO52	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO53	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO54	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO55	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO56	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO57	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO58	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
PO59	ECOG	µV	0.000	0.150	G2	PO	good	n/a	512.000
