name	x	y	z	size	manufacturer	group	hemisphere	impedance
F01	4.439	67.175	50.632	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F02	-4.054	63.194	57.646	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F03	-7.578	54.539	63.864	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F04	-11.699	47.118	67.699	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F05	-13.540	37.696	72.646	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F06	-16.005	28.914	75.815	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F07	-16.652	19.973	79.503	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F08	-18.058	9.884	82.032	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F09	-6.931	69.970	46.921	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F10	-12.084	63.270	53.201	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F11	-16.721	56.505	57.656	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F12	-20.842	47.904	63.901	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F13	-23.850	39.184	68.295	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F14	-25.745	29.754	72.043	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F15	-28.264	20.374	75.218	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F16	-28.476	10.177	77.693	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F17	-15.176	68.836	40.091	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F18	-20.791	63.389	46.984	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F19	-25.402	56.628	52.039	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F20	-29.577	48.019	57.085	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F21	-32.042	38.647	61.459	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F22	-34.641	28.076	65.245	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F23	-36.536	19.237	67.788	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F24	-36.694	9.047	71.463	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F25	-21.141	66.881	31.963	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F26	-28.521	61.600	39.535	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F27	-33.212	53.647	45.201	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F28	-36.247	44.923	48.995	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F29	-38.793	34.950	52.776	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F30	-40.715	25.516	55.924	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F31	-43.126	16.741	60.292	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F32	-44.316	8.453	64.001	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F33	-26.617	63.676	23.820	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F34	-33.615	57.721	27.776	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F35	-38.172	50.377	35.234	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F36	-42.401	41.171	40.286	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F37	-44.296	32.331	42.829	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F38	-45.540	23.445	46.544	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F39	-48.440	15.329	52.131	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F40	-50.308	5.903	56.478	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F41	-26.936	57.004	16.669	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F42	-35.510	53.602	20.679	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F43	-40.879	45.692	24.573	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F44	-43.833	36.979	30.166	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F45	-44.507	28.034	33.255	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F46	-48.085	19.962	37.070	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F47	-51.039	12.429	40.253	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
F48	-53.369	4.256	45.214	4.155	Ad-Tech Medical (Oak Creek, WI)	F	L	0.000
P49	-43.212	-57.492	46.946	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P50	-47.911	-48.650	45.300	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P51	-51.416	-39.917	43.601	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P52	-54.893	-30.590	41.296	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P53	-55.903	-20.878	39.479	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P54	-55.148	-11.333	36.983	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P55	-54.339	-1.189	34.481	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P56	-51.766	8.198	32.505	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P57	-41.398	-55.154	55.859	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P58	-45.500	-46.366	54.186	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P59	-50.199	-37.525	52.540	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P60	-53.053	-28.248	50.809	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P61	-54.116	-19.134	48.998	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P62	-53.904	-8.937	46.522	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P63	-53.800	0.066	44.058	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
P64	-51.744	10.108	42.702	4.155	Ad-Tech Medical (Oak Creek, WI)	P	L	0.000
C01	-37.495	-25.089	79.352	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C02	-37.215	-21.956	80.055	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C03	-36.742	-18.759	80.516	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C04	-36.143	-15.536	80.791	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C05	-35.505	-12.276	80.979	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C06	-34.670	-9.034	80.888	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C07	-33.817	-5.829	80.783	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C08	-32.978	-2.678	80.656	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C09	-35.331	-25.833	80.843	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
C10	-34.891	-22.679	81.360	1.327	Ad-Tech Medical (Oak Creek, WI)	C	L	0.000
