name	type	units	low_cutoff	high_cutoff	reference	group	status	sampling_frequency
C01	ECOG	µV	n/a	0.150	G2	C	good	512.000
C02	ECOG	µV	0.000	0.150	G2	C	good	512.000
C03	ECOG	µV	0.000	0.150	G2	C	good	512.000
C04	ECOG	µV	0.000	0.150	G2	C	good	512.000
C05	ECOG	µV	0.000	0.150	G2	C	good	512.000
C06	ECOG	µV	0.000	0.150	G2	C	good	512.000
C07	ECOG	µV	0.000	0.150	G2	C	good	512.000
C08	ECOG	µV	0.000	0.150	G2	C	good	512.000
C09	ECOG	µV	0.000	0.150	G2	C	good	512.000
C10	ECOG	µV	0.000	0.150	G2	C	good	512.000
C11	ECOG	µV	0.000	0.150	G2	C	good	512.000
C12	ECOG	µV	0.000	0.150	G2	C	good	512.000
C13	ECOG	µV	0.000	0.150	G2	C	good	512.000
C14	ECOG	µV	0.000	0.150	G2	C	good	512.000
C15	ECOG	µV	0.000	0.150	G2	C	good	512.000
C16	ECOG	µV	0.000	0.150	G2	C	good	512.000
C17	ECOG	µV	0.000	0.150	G2	C	good	512.000
C18	ECOG	µV	0.000	0.150	G2	C	good	512.000
C19	ECOG	µV	0.000	0.150	G2	C	good	512.000
C20	ECOG	µV	0.000	0.150	G2	C	good	512.000
C21	ECOG	µV	0.000	0.150	G2	C	good	512.000
C22	ECOG	µV	0.000	0.150	G2	C	good	512.000
C23	ECOG	µV	0.000	0.150	G2	C	good	512.000
C24	ECOG	µV	0.000	0.150	G2	C	good	512.000
C25	ECOG	µV	0.000	0.150	G2	C	good	512.000
C26	ECOG	µV	0.000	0.150	G2	C	good	512.000
C27	ECOG	µV	0.000	0.150	G2	C	good	512.000
C28	ECOG	µV	0.000	0.150	G2	C	good	512.000
C29	ECOG	µV	0.000	0.150	G2	C	good	512.000
C30	ECOG	µV	0.000	0.150	G2	C	good	512.000
C31	ECOG	µV	0.000	0.150	G2	C	good	512.000
C32	ECOG	µV	0.000	0.150	G2	C	good	512.000
FL01	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL02	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL03	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL04	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL05	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL06	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL07	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL08	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL09	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL10	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL11	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL12	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL13	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL14	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL15	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FL16	ECOG	µV	0.000	0.150	G2	FL	good	512.000
FH01	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH02	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH03	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH04	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH05	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH06	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH07	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH08	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH09	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH10	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH11	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH12	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH13	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH14	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH15	ECOG	µV	0.000	0.150	G2	FH	good	512.000
FH16	ECOG	µV	0.000	0.150	G2	FH	good	512.000
iH1	ECOG	µV	0.000	0.150	G2	iH	good	512.000
iH2	ECOG	µV	0.000	0.150	G2	iH	good	512.000
iH3	ECOG	µV	0.000	0.150	G2	iH	good	512.000
iH4	ECOG	µV	0.000	0.150	G2	iH	good	512.000
iH5	ECOG	µV	0.000	0.150	G2	iH	good	512.000
iH6	ECOG	µV	0.000	0.150	G2	iH	good	512.000
iH7	ECOG	µV	0.000	0.150	G2	iH	good	512.000
iH8	ECOG	µV	0.000	0.150	G2	iH	good	512.000
rH1	ECOG	µV	0.000	0.150	G2	rH	good	512.000
rH2	ECOG	µV	0.000	0.150	G2	rH	good	512.000
rH3	ECOG	µV	0.000	0.150	G2	rH	good	512.000
rH4	ECOG	µV	0.000	0.150	G2	rH	good	512.000
rH5	ECOG	µV	0.000	0.150	G2	rH	good	512.000
rH6	ECOG	µV	0.000	0.150	G2	rH	good	512.000
rH7	ECOG	µV	0.000	0.150	G2	rH	good	512.000
rH8	ECOG	µV	0.000	0.150	G2	rH	good	512.000
rM1	ECOG	µV	0.000	0.150	G2	rM	good	512.000
rM2	ECOG	µV	0.000	0.150	G2	rM	good	512.000
rM3	ECOG	µV	0.000	0.150	G2	rM	good	512.000
rM4	ECOG	µV	0.000	0.150	G2	rM	good	512.000
rM5	ECOG	µV	0.000	0.150	G2	rM	good	512.000
rM6	ECOG	µV	0.000	0.150	G2	rM	good	512.000
rM7	ECOG	µV	0.000	0.150	G2	rM	good	512.000
rM8	ECOG	µV	0.000	0.150	G2	rM	good	512.000
