name	type	units	low_cutoff	high_cutoff	reference	group	notch	status	status_description	sampling_frequency
P01	ECOG	µV	n/a	0.150	G2	P	0.000	good	n/a	512.000
P02	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P03	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P04	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P05	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P06	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P07	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P08	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P09	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P10	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P11	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P12	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P13	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P14	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P15	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P16	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P17	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P18	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P19	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P20	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P21	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P22	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P23	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P24	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P25	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P26	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P27	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P28	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P29	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P30	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P31	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P32	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P33	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P34	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P35	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P36	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P37	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P38	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P39	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P40	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P41	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P42	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P43	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P44	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P45	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P46	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P47	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
P48	ECOG	µV	0.000	0.150	G2	P	0.000	good	n/a	512.000
